,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
周   报,,,,,,,,,,,,,,,,,
撰写人,王琰滨,,,,,,,,,,,,,,,,
,项目,项目责任与目标,工作进展,工作内容,责任人,参与人,,,,,,,,,,,
上周工作,亚视代码库,[6月6日]建立公司代码库和开发框架,进行代码库整合和剩余模块开发，同时遗留一些文档工作，等待设备产品完成后撰写发布。,"1.控制台控件进一步修改(汪文靖)
2.实现并测试数据库缓存库(刘王胜)
3.完成进程间通信库头文件编写（刘王胜）",王琰滨,刘王胜，汪文靖,,,,,,,,,,,
,视频分析服务器,[6月30日]完成服务器产品研发,"完成两个系统的共用UI框架开发
[管理系统]制作各个UI元素效果完成。设计详细界面和功能进行中
[分析系统]界面设计定版。框架搭建完毕","[管理系统]
1.实现了设计图中的表格样式，滚动条，渐变等诸多UI元素（汪文靖）

[分析系统]
1.分析系统的界面设计定版(朱伟奇)
2.完成共用UI框架开发
3.系统运行框架已搭建完毕。采集线程，算法线程及相关管理模块开发完毕",王琰滨,刘王胜，汪文靖，朱伟奇,,,,,,,,,,,
,华平智能交通管控平台,[?]针对华平提出的反馈进行修改,华平又提出了几个新问题，暂无解决进展,,王琰滨,孙翔，李斌,,,,,,,,,,,
,智能交通管控平台-大连,[6月17日]完成海康威视摄像头的数据接入软件,已完成技术打通和设计，准备开始开发，预计3天,完成底层的文件操作，设计程序的整体架构和数据流程(刘王胜),王琰滨,刘王胜,,,,,,,,,,,
,项目,项目责任与目标,详细计划,需要的支持,责任人,参与人,,,,,,,,,,,
下周计划,亚视代码库,[6月30日]建立公司代码库和开发框架,"主体已完成
6月30日前进行扫尾工作，发布。",,,,,,,,,,,,,,
,视频分析服务器,"[6月30日]完成服务器产品系统开发
[7月15日]完成软硬件测试","[视频分析系统]
6月24日完成系统的主体功能
6月30日清扫遗留功能和模块

[管理软件]
6月19日完成界面设计
6月30日完成软件开发

[守护软件]
6月20日刘王胜开始进行设计开发

6月30日完成所有软件开发
7月初进行软硬件测试",,,,,,,,,,,,,,
,华平智能交通管控平台,[?]针对华平提出的反馈进行修改,上周进展缓慢，本周和蒋龙泉讨论后续计划,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,编号,问题,详情,,,,,,,,,,,,,,
存在的问题,1,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,
阶段性总结,1,,,,,,,,,,,,,,,,
对公司建议,1,,,,,,,,,,,,,,,,
